model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
base,BRA,Q288,10,0.5494600305743473,0.370909631236002,-1.125870805238973,-1.2696522606325678,1.8952538751715196,0.0
base,BRA,Q43,3,0.6730568037000002,0.375340264967872,-1.0291089552152748,-0.5729710588450283,-0.08137544629000737,0.0
base,BRA,Q50,10,0.6651007841560176,0.42536813290997333,-1.7437540113096714,-2.069463233159059,0.2649796664613495,0.0
base,BRA,Q57,2,0.1994010373168631,0.05482251026322605,0.48284499093005806,0.19268262748603907,-0.1994010373168631,1.0
base,BRA,Q58,4,0.1728137073800476,0.04976428343095542,-0.3370638404269304,-0.21182660966100297,-0.027444666542274954,0.0
base,BRA,Q59,4,0.4800353064898191,0.22171516869181843,-1.2794127498332406,-0.6043464393874848,-0.5244503087246004,1.0
base,BRA,Q60,4,0.3822635792540542,0.20759103099931497,-0.9709403074308399,-0.42493050626313994,-0.562778390932108,1.0
base,BRA,Q61,4,0.6667732369188106,0.4215196847070286,-1.0520444348729785,-0.5104964918327315,-1.0863648268630528,0.0
base,BRA,Q62,4,0.47069074798890115,0.23269252352996475,-1.4213503089828958,-0.6528098266146143,-0.5133532390131572,1.0
base,BRA,Q63,4,0.5751007848732128,0.326291187522845,-1.3130661985656158,-0.6583853220674136,-0.8835510868646601,1.0
base,BRA,Q64,4,0.1971760695286249,0.0517440718344878,-0.3004784471301436,-0.23756685981088477,0.022754241359275174,1.0
base,BRA,Q69,4,0.26357287695558806,0.12684151100017965,-0.7176626008932658,-0.4232179694664605,-0.36967223330702614,1.0
base,BRA,Q70,4,0.3140094525909142,0.15474974419012677,-0.795151033642824,-0.46807162368379274,-0.38188357133420725,1.0
base,BRA,Q71,4,0.5629541515111762,0.35880240519056006,-0.6070212137290074,-0.40220874645927845,-0.5798906737585994,0.0
base,BRA,Q73,4,0.6167692400426552,0.3893644230625118,-0.17147998207180626,-0.22234408206293188,-0.9659184264138556,0.0
base,BRA,Q81,4,0.3428266911009991,0.12529092737878028,-0.9189361250341346,-0.47670420409209013,-0.18852198203611392,1.0
base,BRA,Q99,3,0.7328398798993019,0.47319122400669955,1.1622074697449498,0.5310850907182141,1.2758563390192137,0.0
base,CHN,Q101,3,0.7140518482118906,0.46462443469316117,1.3126334577138175,0.615119756837595,1.1901928081764803,0.0
base,CHN,Q103,3,0.31618273889759363,0.12689638048385216,0.892891256475117,0.5224396934165842,0.5546587176491585,1.0
base,CHN,Q106,10,0.5736770854384339,0.3521927861673413,-1.4873206264295245,-1.8342301566860404,-0.10313404243558377,0.0
base,CHN,Q107,10,0.30656407767913546,0.11744152798974983,-0.5774091050131713,-0.9504919979595081,-0.003652673358151226,1.0
base,CHN,Q109,10,0.6184535358547477,0.3825116960670555,-0.9290267221899586,-1.2791546183360056,1.7506763235308118,0.0
base,CHN,Q174,2,0.24785731555312984,0.120254419427487,-0.7580353719370712,-0.35176173010340206,0.24785731555312984,1.0
base,CHN,Q176,10,0.4812834537025139,0.25645677435888875,-1.2440412302622827,-1.5743062267558736,0.3745422469834665,1.0
base,CHN,Q177,10,0.4729104093964735,0.19554500948424725,-1.6548398476097028,-0.7184983079319354,-1.6457369046457906,1.0
base,CHN,Q178,10,0.8686013453142262,0.7222517723770334,1.2669441354389108,0.07675310053031525,4.4186025169689245,0.0
base,CHN,Q179,10,0.09636096330035251,0.056132250421935634,0.04989837652348317,0.5263294045053502,0.24036043237914884,1.0
base,CHN,Q195,10,0.6891418664651505,0.4593131058179828,-0.6251895383263126,-2.3785836645239957,0.2599678287134939,0.0
