country,item,mean,n
NGA,Q73,2.1757064518272142,1220
NGA,Q43,2.0695418750641466,1222
NGA,Q50,4.7930341680655495,1235
NGA,Q106,7.494652618354011,1232
NGA,Q107,6.654115028096179,1233
NGA,Q109,3.5925550769376904,1235
NGA,Q178,2.015197551362265,1233
NGA,Q81,2.8856535695829804,1202
NGA,Q176,5.008023271008234,1222
NGA,Q177,8.987533235247025,1234
NGA,Q179,9.31260076416191,1235
NGA,Q195,2.592480296667798,1220
NGA,Q99,0.31225322857856275,1211
NGA,Q101,0.33948869571366497,1216
NGA,Q103,0.43156540818010597,1203
NGA,Q69,1.9408648897964433,1235
NGA,Q70,2.37607996909042,1224
NGA,Q71,2.302835655724091,1233
NIC,Q57,0.0425,1200
NIC,Q58,3.4433333333333334,1200
NIC,Q59,2.2333333333333334,1200
NIC,Q60,2.54,1200
NIC,Q61,1.5508333333333333,1200
NIC,Q62,2.0866666666666664,1200
NIC,Q63,1.6641666666666666,1200
NIC,Q64,3.0075,1200
NIC,Q73,1.8141666666666667,1200
NIC,Q43,2.4358333333333335,1200
NIC,Q50,6.715833333333333,1200
NIC,Q106,6.904166666666667,1200
NIC,Q107,6.0925,1200
NIC,Q109,5.5375,1200
NIC,Q178,3.65,1200
NIC,Q81,2.5616666666666665,1200
NIC,Q176,5.6375,1200
NIC,Q177,6.961666666666667,1200
NIC,Q179,9.34,1200
NIC,Q195,2.3133333333333335,1200
NIC,Q99,0.3675,1200
NIC,Q101,0.2733333333333333,1200
NIC,Q103,0.33166666666666667,1200
NIC,Q69,2.045,1200
NIC,Q70,1.9775,1200
