iso3,year,gdp_pc_ppp,gini,agri_empl
GIN,2016,3099.78874189372,,50.3134636437328
GIN,2017,3332.76576150531,,49.2633426289937
GIN,2018,3455.64512638662,29.6,48.5915849298942
GIN,2019,3557.46233883145,,48.2673703892797
GMB,2015,2495.95741601525,35.9,30.5745319602133
GMB,2016,2478.46055756999,,30.6353996034141
GMB,2017,2533.18683710276,,30.0721173726781
GMB,2018,2651.43281455826,,29.1626620575933
GMB,2019,2750.82132179634,,28.4343309883713
GNB,2015,2230.52993109779,,65.5652543232415
GNB,2016,2293.37861360238,,65.1057552993128
GNB,2017,2342.56110535416,,64.8347210047479
GNB,2018,2373.64935653455,34.8,64.5069221895561
GNB,2019,2442.25868377476,,64.3813975386937
GNQ,2015,27797.7942803179,,55.399577451948
GNQ,2016,24435.0645564801,,56.0147490434262
GNQ,2017,22250.4389230263,,56.5808957776355
GNQ,2018,20165.4795550607,,55.3999560993571
GNQ,2019,18446.5916579681,,55.8356005729206
GRC,2015,31347.976574604,36.0,12.5007139189579
GRC,2016,31468.6198471099,35.0,11.9289237363557
GRC,2017,31995.4108838386,34.4,11.6725573398909
GRC,2018,32722.3310444029,32.9,11.8529904226639
GRC,2019,33502.7506488997,33.1,11.1507282816022
GRD,2015,15136.6966673773,,
GRD,2016,15640.8274503805,,
GRD,2017,16291.4894625979,,
GRD,2018,16964.852001696,43.8,
GRD,2019,17036.9151689715,,
GRL,2015,63364.0536061164,,
GRL,2016,66245.7294730698,,
GRL,2017,66297.1790691281,,
GRL,2018,66887.6779268926,,
GRL,2019,68534.9419039133,,
GTM,2015,10785.9583125957,,31.875723341049
GTM,2016,10872.5938902469,,29.3773865696787
GTM,2017,11005.4592851719,,31.779564221315
GTM,2018,11192.3719192725,,32.9162721680963
GTM,2019,11466.3764932197,,31.0846578149197
GUM,2015,,,2.02402292198902
GUM,2016,,,1.97246620916215
GUM,2017,,,1.92022807949241
GUM,2018,,,1.87442082502598
GUM,2019,,,1.82416774995761
GUY,2015,12040.08253302,,17.2733258272005
GUY,2016,12420.4724727603,,16.7512847982362
GUY,2017,12801.6408529346,,16.3477151472976
GUY,2018,12980.3576003177,,15.9146527421358
GUY,2019,13402.4219472757,,15.2981983446759
HKG,2015,62779.7552386246,,0.225410395495887
HKG,2016,63749.4285013369,,0.21983462476373
HKG,2017,65662.8543379575,,0.214225584751847
HKG,2018,66993.9592604441,,0.20873164962975
HKG,2019,65388.3366418212,,0.205572640546107
HND,2015,5812.5348879105,49.2,21.0491854409635
HND,2016,5926.49025534228,49.8,19.8831800387265
HND,2017,6099.60734919414,49.4,23.9436044061677
HND,2018,6219.27973775059,48.9,23.5398236570113
HND,2019,6264.01884276715,48.2,22.5219034960644
HPC,2015,2914.03384890302,,58.9868219581698
HPC,2016,2956.59086263144,,58.5289996570196
HPC,2017,3016.38373115986,,57.7777127708303
HPC,2018,3053.40944915716,,56.7548296114227
HPC,2019,3094.41035211512,,55.4993608416736
HRV,2015,29466.4506365792,31.1,9.16002133279155
HRV,2016,30820.8050421355,30.9,7.47518701164236
HRV,2017,32348.5888556174,30.4,7.00580823954891
HRV,2018,33729.5455811943,29.7,6.14942722015248
HRV,2019,35122.7966231008,28.9,6.10427260181352
HTI,2015,3402.0283988016,,46.2550132587207
HTI,2016,3415.58218112308,,45.9335436350145
HTI,2017,3453.97142164659,,45.5955688594249
HTI,2018,3465.25480573601,,45.2587693772306
HTI,2019,3361.75328894114,,45.165510614367
HUN,2015,31485.5675425634,30.4,4.9001399780673
HUN,2016,32378.9674983075,30.3,5.03976889170395
HUN,2017,33828.714942571,30.6,5.0366843206994
HUN,2018,35798.0412754022,,4.90634361481413
HUN,2019,37662.67681014,,4.73233560479278
IBD,2015,13669.8723851709,,28.9559000034539
IBD,2016,14147.4607960246,,28.2044128956377
IBD,2017,14720.5064051308,,27.5708582140172
IBD,2018,15291.0398093318,,26.7948395800103
IBD,2019,15754.9861909747,,26.0679384355147
IBT,2015,11346.1010341675,,33.6055653955079
IBT,2016,11696.9848339604,,33.0122014225051
IBT,2017,12123.4403274652,,32.3604001597798
IBT,2018,12547.6065169327,,31.6079579186805
IBT,2019,12882.9121398515,,30.9746744831297
IDA,2015,4584.99902568175,,49.8520623882894
IDA,2016,4649.06174910145,,49.568240435228
IDA,2017,4743.55675240066,,48.6376944670413
IDA,2018,4853.06226610071,,47.7566609939386
IDA,2019,4940.15164754183,,47.2265127813667
